key,weight,height,Assist Tackles,Completion Percentage,Completions,Extra Points Made,FGM 1-19 yards,FGM 20-29 yards,FGM 30-39 yards,FGM 40-49 yards,FGM 50+ yards,Field Goal Attempts,Field Goal Made,Field Goal Percentage,Field Goals,Forced Fumbles,Gross Average Punt Yards,Interception Touchdowns,Interception Yards,Interceptions,Kick Extra Points,Kick Return Touchdowns,Kick Return Yards,Kick Returns,Long Field Goal Made,Long Kick Return,Long Punt,Long Punt Return,Long Reception,Long Rushing,Longest Pass,Passer Rating,Passes Defended,Passing Attempts,Passing Touchdowns,Passing Yards,Punt Return Fair Catches,Punt Return Touchdowns,Punt Return Yards,Punt Returns,Punt Yards,Punts,Receiving Touchdowns,Receiving Yards,Receptions,Return Touchdowns,Rushing Attempts,Rushing Touchdowns,Rushing Yards,Sacks,Solo Tackles,Total Kicking Points,Total Sacks,Total Tackles,Total Touchdowns,Total Two Point Conversions,Yards Per Pass Attempt,Yards Per Reception,Yards Per Rush Attempt,career_avg_total_qbr,career_avg_qb_plays,career_avg_total_epa,career_avg_pass,career_avg_run,career_avg_exp_sack,career_avg_penalty,career_avg_raw_qbr,career_avg_sack,career_sum_points_added,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,40yd_done,Vertical_done,Bench_done,Broad Jump_done,3Cone_done,Shuttle_done,player_id
QB,0.6938775510204076,0.9605055292259084,0.0,0.26049766718507,0.5078347578347578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25735061650331964,0.0,0.48740265689418233,0.4141414141414142,0.5665024630541872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022995649471721565,0.017857142857142856,0.0,0.24885496183206107,0.07,0.3567666126418152,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.23482849604221637,0.3492063492063492,0.4894179894179895,0.9000698812019566,0.5771725032425421,0.5087351502445842,0.5699513381995135,0.3576642335766423,0.7924791086350975,0.35809523809523813,0.8732193732193733,0.739247311827957,0.7953560371517028,0.29213483146067354,0.7692307692307692,0.0,0.96551724137931,0.16666666666666607,0.3896103896103904,1,1,0,1,1,1,28325
QB,0.6326530612244889,0.9399684044233807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008079552517091361,0.0,0.0,0.0,0.0,0.16288492706645055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15873015873015872,0.33333333333333337,0.7910552061495456,0.7639429312581063,0.4507337526205451,0.5869829683698297,0.361033127456485,0.3941504178272981,0.23238095238095238,0.7556980056980057,0.3709677419354839,0.6569659442724459,0.0,1.0,0.0,0.827586206896552,0.5196969696969704,0.4581934919013575,1,1,0,1,0,0,28956
QB,0.42857142857142794,0.9589257503949447,0.0,0.24300155520995337,0.34472934472934474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21214037306354724,0.0,0.35455794777828675,0.21212121212121213,0.3274059834194401,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.0,0.17557251908396945,0.05,0.2376418152350081,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.18469656992084432,0.3857142857142857,0.417989417989418,0.7028301886792453,0.6070038910505836,0.246680642907058,0.35264598540145986,0.1667602470522178,0.684540389972145,0.4057142857142857,0.6217948717948718,0.655241935483871,0.2786377708978328,0.3595505617977528,0.39095955590800946,0.0,0.5650143678160919,0.5196969696969704,0.4581934919013575,1,0,0,0,0,0,28393
QB,0.42857142857142794,0.9541864139020537,0.0,0.2702177293934681,0.5462962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2491305722415428,0.0,0.505267979844251,0.37878787878787884,0.5562897993511955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008079552517091361,0.0,0.0,0.059541984732824425,0.01,0.13249594813614263,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.2216358839050132,0.15873015873015872,0.23280423280423285,0.8003144654088049,0.7665369649805447,0.4640111809923131,0.6792883211678832,0.07916900617630543,0.697075208913649,0.4114285714285715,0.7649572649572649,0.655241935483871,0.49411764705882355,0.6292134831460672,0.39095955590800946,0.0,0.5650143678160919,0.5196969696969704,0.4581934919013575,1,0,0,0,0,0,28779
QB,0.8571428571428568,0.9968404423380727,0.0,0.2356143079315708,0.2934472934472935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21340499525766676,0.0,0.3114979386165827,0.16666666666666669,0.30529857022708157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008079552517091361,0.0,0.0,0.20916030534351146,0.04,0.2076580226904376,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.1978891820580475,0.15873015873015872,0.3756613756613757,0.7410901467505241,0.8508430609597925,0.3752620545073376,0.5364963503649636,0.2139247613700168,0.3481894150417828,0.8342857142857143,0.6602564102564102,0.2943548387096775,0.25077399380804954,0.5617977528089888,0.39095955590800946,0.0,0.5650143678160919,0.5196969696969704,0.4581934919013575,1,0,0,0,0,0,29000
QB,0.08163265306122369,0.8925750394944708,0.0,0.23678071539657855,0.646011396011396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23269048371798923,0.0,0.6820888685295465,0.5505050505050505,0.7040730505827226,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04536979490366687,0.03571428571428571,0.0,0.6732824427480916,0.23,0.45076985413290116,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.20844327176781005,0.3968253968253968,0.417989417989418,0.806865828092243,0.6770428015564202,0.419811320754717,0.5301094890510949,0.4076361594609769,0.2771587743732591,0.49428571428571433,0.749198717948718,0.24294354838709686,0.7325077399380805,0.22471910112359605,0.6153846153846154,0.0,0.7586206896551722,0.3555555555555552,0.14285714285714324,1,1,0,1,1,1,28525
QB,0.8775510204081627,0.9731437598736177,0.0,0.25972006220839816,0.6680911680911681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21830540625987985,0.0,0.6431516262024737,0.3383838383838384,0.6048299891865914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024860161591050344,0.008928571428571428,0.0,0.1618320610687023,0.04,0.10413290113452187,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.1899736147757256,0.015873015873015872,0.2619047619047619,0.7236198462613558,0.7159533073929961,0.296995108315863,0.4972627737226278,0.07074677147669847,0.4986072423398329,0.5295238095238095,0.6581196581196581,0.4784946236559141,0.3959752321981424,0.9101123595505616,0.34615384615384626,0.0,0.5517241379310343,0.5196969696969704,0.4581934919013575,1,1,0,1,0,0,27468
QB,0.2857142857142856,0.943127962085308,0.0,0.24922239502332813,0.514957264957265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309516282010749,0.0,0.5167201099404489,0.33333333333333337,0.5485401898353959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009322560596643879,0.008928571428571428,0.0,0.16946564885496182,0.01,0.13715559157212315,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.21372031662269128,0.19047619047619047,0.30423280423280424,0.6872816212438853,0.5654993514915694,0.2259492196599115,0.44312652068126523,0.014598540145985398,0.5877437325905293,0.18285714285714286,0.6452991452991453,0.5631720430107527,0.31455108359133127,0.5730337078651688,0.1923076923076925,0.0,0.4482758620689653,0.44444444444444464,0.675324675324676,1,1,0,1,1,1,28010
QB,0.5918367346938771,0.962085308056872,0.0,0.21578538102643857,0.6844729344729346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8703703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036041732532406,0.0,0.79340357306459,0.4545454545454546,0.7623453081821459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008079552517091361,0.0,0.0,0.13740458015267176,0.02,0.10717179902755267,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.19261213720316622,0.15873015873015872,0.25132275132275134,0.5573899371069182,0.6511024643320363,0.22536687631027255,0.35264598540145986,0.08548568220101065,0.6876740947075209,0.5771428571428572,0.6113782051282052,0.6522177419354839,0.33869969040247677,0.5955056179775289,0.26923076923076916,0.0,0.4137931034482758,0.9666666666666659,0.6103896103896105,1,1,0,1,1,1,28260
QB,0.7551020408163263,0.9684044233807266,0.0,0.2601088646967341,0.4273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23774897249446728,0.0,0.4109024278515804,0.2373737373737374,0.465036645440346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014916096954630205,0.0,0.0,0.4549618320610687,0.11,0.3304294975688816,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22691292875989447,0.15873015873015872,0.40740740740740744,0.6965408805031446,0.6523994811932555,0.27253668763102723,0.5013686131386862,0.20297585626052778,0.2249303621169919,0.07428571428571429,0.6597222222222222,0.16330645161290325,0.30928792569659447,0.3595505617977528,0.6153846153846154,0.0,0.7586206896551722,0.47777777777777786,0.2987012987012987,1,1,0,1,1,1,30224
